Timestamp (ms),X: (degree per second),Y: (degree per second),Z: (degree per second)
81592,-18.900000,-2.590000,0.140000, 
81668,-4.760000,-1.960000,0.350000, 
81745,1.050000,-1.890000,0.210000, 
81821,0.210000,-2.940000,0.070000, 
81898,-0.140000,-2.240000,0.280000, 
81974,-0.770000,-2.240000,0.210000, 
82050,-10.010000,-1.750000,0.350000, 
82127,-9.380000,-3.920000,-1.190000, 
82204,-11.550000,-2.380000,-4.060000, 
82281,-2.940000,0.070000,3.150000, 
82357,-12.530000,-7.420000,9.520000, 
82433,-31.010000,-19.530001,24.850000, 
82510,-50.330002,-19.530001,36.820000, 
82586,-12.250000,-10.710000,35.700001, 
82663,16.870001,-14.280000,26.740000, 
82740,68.599998,34.160000,-3.640000, 
82816,57.820000,115.709999,-14.980000, 
82893,62.299999,173.039993,-42.560001, 
82969,-24.780001,159.039993,-114.379997, 
83045,-4.130000,112.629997,-146.020004, 
83122,-33.250000,57.470001,-113.959999, 
83199,13.090000,-5.320000,25.760000, 
83276,21.350000,-32.130001,44.240002, 
83352,3.780000,-22.330000,18.129999, 
83428,4.340000,-17.010000,7.700000, 
83505,7.420000,-9.100000,1.470000, 
83582,3.150000,-5.250000,0.280000, 
83658,1.120000,-2.800000,0.770000, 
83735,-0.280000,-2.380000,0.280000, 
83811,1.190000,0.070000,-1.050000, 
83888,4.200000,-2.310000,-0.630000, 
83964,8.120000,-13.090000,12.670000, 
84041,-8.680000,-48.580002,111.300003, 
84118,19.389999,-110.949997,262.570007, 
84194,22.540001,-76.300003,275.100006, 
84270,-33.389999,-46.900002,213.289993, 
84347,-8.750000,-16.730000,67.129997, 
84423,-26.389999,-8.120000,35.349998, 
84500,19.600000,16.309999,-87.500000, 
84577,-6.230000,14.280000,-93.590004, 
84653,-23.030001,79.800003,-294.140015, 
84730,34.439999,39.759998,-346.709991, 
84806,25.270000,-12.110000,-192.009995, 
84882,6.300000,-6.790000,-67.199997, 
84959,-1.470000,2.940000,-21.700001, 
85036,-2.030000,4.200000,6.720000, 
85113,-2.100000,0.980000,9.870000, 
85189,-6.790000,-2.730000,-4.480000, 
85265,2.170000,-3.430000,4.410000, 
85342,1.330000,-0.490000,3.500000, 
85418,1.120000,-0.140000,2.240000, 
85495,-8.960000,4.900000,3.360000, 
85572,-26.600000,28.280001,4.060000, 
85648,-47.529999,96.809998,24.219999, 
85725,-78.820000,186.619995,65.379997, 
85801,-66.010002,117.459999,46.270000, 
85877,-23.100000,35.560001,17.360001, 
85954,-21.840000,20.580000,4.620000, 
86031,3.920000,-0.420000,0.000000, 
86107,32.410000,-51.869999,-6.440000, 
86184,90.370003,-192.080002,-23.379999, 
86260,140.419998,-301.980011,-22.820000, 
86337,103.529999,-191.240005,11.550000, 
86414,28.139999,-60.270000,0.840000, 
86490,5.180000,-11.200000,0.280000, 
86567,-6.300000,10.150000,0.910000, 
86643,-32.619999,42.980000,5.740000, 
86719,-88.760002,164.779999,38.849998, 
86796,-91.349998,254.380005,46.130001, 
86873,-57.959999,168.070007,43.189999, 
86950,-25.760000,61.250000,1.540000, 
87026,28.700001,-40.320000,-28.630001, 
87102,51.590000,-137.199997,-3.920000, 
87179,14.910000,-101.500000,11.410000, 
87255,-97.860001,9.170000,87.849998, 
87332,-86.870003,152.180008,80.360001, 
87409,-84.629997,152.669998,65.870003, 
87485,-74.900002,-116.830002,243.040009, 
87562,89.949997,-105.279999,-17.500000, 
87638,21.000000,72.870003,-303.029999, 
87714,44.590000,6.650000,-224.070007, 
87791,101.919998,-282.869995,22.680000, 
87868,68.389999,-93.309998,205.169998, 
87945,-17.500000,123.270004,247.380005, 
88021,138.250000,315.279999,68.879997, 
88097,121.169998,322.489990,-26.180000, 
88174,12.810000,127.120003,-48.790001, 
88250,9.450000,29.400000,-57.610001, 
88327,14.140000,-118.650002,-126.139999, 
88404,36.750000,-330.190002,-184.029999, 
88480,-7.980000,-192.149994,-108.220001, 
88557,24.990000,-122.779999,28.980000, 
88633,78.330002,-197.889999,176.539993, 
88709,-102.760002,-132.930008,1.050000, 
88786,150.779999,-102.620003,-201.180008, 
88863,353.220001,-148.119995,67.269997, 
88939,290.920013,68.739998,63.980000, 
89016,156.169998,262.360016,52.150002, 
89092,36.119999,161.559998,-216.229996, 
89169,-224.000000,106.120003,-524.090027, 
89246,-231.350006,-19.670000,-261.589996, 
89322,-0.630000,-168.839996,56.700001, 
89399,91.769997,-136.990005,219.589996, 
89475,96.529999,-172.410004,300.299988, 
89551,-3.080000,-23.799999,153.300003, 
89628,-13.650000,18.059999,-5.040000, 
89705,5.320000,-53.619999,-276.360016, 
89782,7.070000,-73.080002,-137.410004, 
89858,-98.349998,174.369995,-56.279999, 
89934,-7.700000,-85.400002,0.140000, 
90011,-112.770004,-10.780000,-36.820000, 
90087,10.850000,21.420000,-11.550000, 
90164,21.000000,1.750000,1.050000, 
90241,1.050000,-1.540000,0.350000, 
